concept,gloss
κηπος,ΚΗΠΟΣ
κιλο,ΚΙΛΟ
κινδυνος,ΚΙΝΔΥΝΟΣ
κινηματογραφος,ΚΙΝΗΜΑΤΟΓΡΑΦΟΣ
κινητο τηλεφωνο,ΚΙΝΗΤΟ_ΤΗΛΕΦΩΝΟ
κινω,ΚΙΝΩ
κιτρινος,ΚΙΤΡΙΝΟΣ
κλαδι,ΚΛΑΔΙ
κλαιω,ΚΛΑΙΩ
κλεβω,ΚΛΕΒΩ
κλειδι,ΚΛΕΙΔΙ
κλειδωνω,ΚΛΕΙΔΩΝΩ
κλεινω,ΚΛΕΙΝΩ
κλειστος,ΚΛΕΙΣΤΟΣ
κλοτσω,ΚΛΟΤΣΩ
κοβω,ΚΟΒΩ
κοινος,ΚΟΙΝΟΣ
κοινοτητα,ΚΟΙΝΟΤΗΤΑ
κοινωνια,ΚΟΙΝΩΝΙΑ
κοιταζω,ΚΟΙΤΑΖΩ
κοκκινος,ΚΟΚΚΙΝΟΣ
κομματι,ΚΟΜΜΑΤΙ
κομψος,ΚΟΜΨΟΣ
κονσερβα,ΚΟΝΣΕΡΒΑ
κοντα,ΚΟΝΤΑ
κοντος,ΚΟΝΤΟΣ
κορη,ΚΟΡΗ
κοριτσι,ΚΟΡΙΤΣΙ
κοσμος,ΚΟΣΜΟΣ
κοτα,ΚΟΤΑ
κοτοπουλο,ΚΟΤΟΠΟΥΛΟ
κουδουνι,ΚΟΥΔΟΥΝΙ
κουζινα,ΚΟΥΖΙΝΑ
κουταλι,ΚΟΥΤΑΛΙ
κουτι,ΚΟΥΤΙ
κοφτερος,ΚΟΦΤΕΡΟΣ
κρατω,ΚΡΑΤΩ
κρεας,ΚΡΕΑΣ
κρεβατι,ΚΡΕΒΑΤΙ
κρεμα,ΚΡΕΜΑ
κρεμω,ΚΡΕΜΩ
κριμα,ΚΡΙΜΑ
κτιριο,ΚΤΙΡΙΟ
κυβερνηση,ΚΥΒΕΡΝΗΣΗ
κυκλος,ΚΥΚΛΟΣ
κυρια,ΚΥΡΙΑ
κυριακη,ΚΥΡΙΑΚΗ
κυριος,ΚΥΡΙΟΣ
λαδι,ΛΑΔΙ
λαμπω,ΛΑΜΠΩ
λαος,ΛΑΟΣ
λειος,ΛΕΙΟΣ
λεκανη,ΛΕΚΑΝΗ
λεκες,ΛΕΚΕΣ
λεξη,ΛΕΞΗ
λεξικο,ΛΕΞΙΚΟ
λεπτος,ΛΕΠΤΟΣ
λεω,ΛΕΩ
λεωφορειο,ΛΕΩΦΟΡΕΙΟ
λιμανι,ΛΙΜΑΝΙ
λιμνη,ΛΙΜΝΗ
λιωνω,ΛΙΩΝΩ
λογικος,ΛΟΓΙΚΟΣ
λογοτεχνια,ΛΟΓΟΤΕΧΝΙΑ
λονδινο,ΛΟΝΔΙΝΟ
λουλουδι,ΛΟΥΛΟΥΔΙ
λοφος,ΛΟΦΟΣ
λυγιζω,ΛΥΓΙΖΩ
λυμαινομαι,ΛΥΜΑΙΝΟΜΑΙ
λυπαμαι,ΛΥΠΑΜΑΙ
μαγειρευω,ΜΑΓΕΙΡΕΥΩ
μαζευω,ΜΑΖΕΥΩ
μαθαινω,ΜΑΘΑΙΝΩ
μαθημα,ΜΑΘΗΜΑ
μαθητης,ΜΑΘΗΤΗΣ
μαιος,ΜΑΙΟΣ
μακρινος,ΜΑΚΡΙΝΟΣ
μαλακος,ΜΑΛΑΚΟΣ
μαλλια,ΜΑΛΛΙΑ
μανικι,ΜΑΝΙΚΙ
μαρτιος,ΜΑΡΤΙΟΣ
μαστορας,ΜΑΣΤΟΡΑΣ
ματι,ΜΑΤΙ
μαυρος,ΜΑΥΡΟΣ
μαχαιρι,ΜΑΧΑΙΡΙ
μαχη,ΜΑΧΗ
μεγαλος,ΜΕΓΑΛΟΣ
μεγαλωνω,ΜΕΓΑΛΩΝΩ
μεγεθος,ΜΕΓΕΘΟΣ
μεθαυριο,ΜΕΘΑΥΡΙΟ
μειονεκτημα,ΜΕΙΟΝΕΚΤΗΜΑ
μελλον,ΜΕΛΛΟΝ
μενω,ΜΕΝΩ
μεσα,ΜΕΣΑ
μεσανυχτα,ΜΕΣΑΝΥΧΤΑ
μεση,ΜΕΣΗ
μεσημερι,ΜΕΣΗΜΕΡΙ
μετρο,ΜΕΤΡΟ
μετρω,ΜΕΤΡΩ
μηκος,ΜΗΚΟΣ
μηνας,ΜΗΝΑΣ
μητερα,ΜΗΤΕΡΑ
μηχανη,ΜΗΧΑΝΗ
μηχανικος,ΜΗΧΑΝΙΚΟΣ
μικρος,ΜΙΚΡΟΣ
μιλω,ΜΙΛΩ
μισθος,ΜΙΣΘΟΣ
μισος,ΜΙΣΟΣ
μοιραζω,ΜΟΙΡΑΖΩ
μολις,ΜΟΛΙΣ
μοναχικος,ΜΟΝΑΧΙΚΟΣ
μονοπατι,ΜΟΝΟΠΑΤΙ
μονος,ΜΟΝΟΣ
μουσειο,ΜΟΥΣΕΙΟ
μουσικη,ΜΟΥΣΙΚΗ
μπανιο,ΜΠΑΝΙΟ
μπαστουνι,ΜΠΑΣΤΟΥΝΙ
μπερδευομαι,ΜΠΕΡΔΕΥΟΜΑΙ
μπλε,ΜΠΛΕ
μπλουζα,ΜΠΛΟΥΖΑ
μπουκαλι,ΜΠΟΥΚΑΛΙ
μπροστα,ΜΠΡΟΣΤΑ
μπυρα,ΜΠΥΡΑ
μυριζω,ΜΥΡΙΖΩ
μυτη,ΜΥΤΗ
ναι,ΝΑΙ
νεκρος,ΝΕΚΡΟΣ
νερο,ΝΕΡΟ
νησι,ΝΗΣΙ
νιατα,ΝΙΑΤΑ
νοεμβριος,ΝΟΕΜΒΡΙΟΣ
νοημα,ΝΟΗΜΑ
νομιζω,ΝΟΜΙΖΩ
νομος,ΝΟΜΟΣ
νοσοκομα,ΝΟΣΟΚΟΜΑ
νοσοκομειο,ΝΟΣΟΚΟΜΕΙΟ
νοστιμος,ΝΟΣΤΙΜΟΣ
νοτια,ΝΟΤΙΑ
ντοματα,ΝΤΟΜΑΤΑ
ντουλαπα,ΝΤΟΥΛΑΠΑ
νυσταζω,ΝΥΣΤΑΖΩ
νυχτα,ΝΥΧΤΑ
ξαφνιαζω,ΞΑΦΝΙΑΖΩ
ξαφνικα,ΞΑΦΝΙΚΑ
ξενος,ΞΕΝΟΣ
ξεχνω,ΞΕΧΝΩ
ξεχωριζω,ΞΕΧΩΡΙΖΩ
ξινος,ΞΙΝΟΣ
ξοδευω,ΞΟΔΕΥΩ
οδηγια,ΟΔΗΓΙΑ
οδηγος,ΟΔΗΓΟΣ
οδηγω,ΟΔΗΓΩ
οδοντιατρος,ΟΔΟΝΤΙΑΤΡΟΣ
οικογενεια,ΟΙΚΟΓΕΝΕΙΑ
οικονομια,ΟΙΚΟΝΟΜΙΑ
οινοπνευμα,ΟΙΝΟΠΝΕΥΜΑ
ολοκληρος,ΟΛΟΚΛΗΡΟΣ
ομαδα,ΟΜΑΔΑ
ομιχλη,ΟΜΙΧΛΗ
ομοιος,ΟΜΟΙΟΣ
ομορφος,ΟΜΟΡΦΟΣ
ομπρελα,ΟΜΠΡΕΛΑ
ονειρευομαι,ΟΝΕΙΡΕΥΟΜΑΙ
ονομα,ΟΝΟΜΑ
οπλο,ΟΠΛΟ
οργανωνω,ΟΡΓΑΝΩΝΩ
ορεξη,ΟΡΕΞΗ
οροφος,ΟΡΟΦΟΣ
ουρανος,ΟΥΡΑΝΟΣ
οφειλω,ΟΦΕΙΛΩ
οχι,ΟΧΙ
παγος,ΠΑΓΟΣ
παγωτο,ΠΑΓΩΤΟ
παιδι,ΠΑΙΔΙ
παιζω,ΠΑΙΖΩ
παιρνω,ΠΑΙΡΝΩ
παιχνιδι,ΠΑΙΧΝΙΔΙ
παλι,ΠΑΛΙ
παλτο,ΠΑΛΤΟ
