concept,gloss
snout,SNOUT1A^
social,SOCIAL1A^
society or corporation,SOCIETY-OR-CORPORATION1^
soft,SOFT1A^
solid,SOLID1A^
solidary,SOLIDARY1A^
solidified,SOLIDIFIED1^
sometime,SOMETIME1^
son,SON1^
soon,SOON2^
sore throat,SORE-THROAT1^
soul,SOUL1^
sound or noise,SOUND-OR-NOISE1^
sour,SOUR1^
source,SOURCE1A^
source to emanate,SOURCE-TO-EMANATE1^
south,SOUTH1A^
special,SPECIAL1^
sperm,SPERM1^
spiked helmet,SPIKED-HELMET1A^
spiky,SPIKY2A^
spoon,SPOON1A^
sports,SPORTS1^
spray,SPRAY1B^
spring,SPRING3^
square,SQUARE1^
squeezed,SQUEEZED3^
stain,STAIN1A^
stamp,STAMP1^
steam,STEAM1A^
stendal,STENDAL1^
step or stage,STEP-OR-STAGE1B^
stick or cane,STICK-OR-CANE1^
stiff,STIFF2^
stomach,STOMACH1A^
straubing,STRAUBING1A^
style,STYLE2^
success,SUCCESS1^
suddenly,SUDDENLY4^
summer,SUMMER1^
sun beats down,SUN-BEATS-DOWN1A^
sunday,SUNDAY1A^
surface,SURFACE4B^
suspension railway,SUSPENSION-RAILWAY1A^
sweet,SWEET1^
switch,SWITCH2^
system,SYSTEM2^
t shirt,T-SHIRT1^
tall,TALL2A^
teacher,TEACHER1^
tear,TEAR1A^
technology,TECHNOLOGY1^
test,TEST1^
text,TEXT1B^
thailand,THAILAND1^
thanks,THANKS1^
thats all,THATS-ALL1^
theatre,THEATRE1^
therapy,THERAPY1A^
there is,THERE-IS1^
thick,THICK2^
thin or skinny,THIN-OR-SKINNY1A^
this and that,THIS-AND-THAT1^
thorax,THORAX1^
thunderstorm,THUNDERSTORM1A^
thursday,THURSDAY1^
tie or cravat,TIE-OR-CRAVAT1^
time,TIME1^
timid,TIMID1^
tinnitus,TINNITUS1^
tire,TIRE4^
title label,TITLE-LABEL1A^
to,TO1^
to accept sth,TO-ACCEPT-STH1B^
to accompany,TO-ACCOMPANY1A^
to accomplish,TO-ACCOMPLISH1A^
to adjust,TO-ADJUST1^
to adjust controller,TO-ADJUST-CONTROLLER1^
to argue,TO-ARGUE1A^
to arrange,TO-ARRANGE1^
to arrest sb,TO-ARREST-SB2^
to bath,TO-BATH1^
to be annoyed,TO-BE-ANNOYED1^
to be broken,TO-BE-BROKEN1^
to be cross eyed,TO-BE-CROSS-EYED1^
to be eye catching,TO-BE-EYE-CATCHING1^
to be fed up,TO-BE-FED-UP2^
to be in hot water,TO-BE-IN-HOT-WATER2^
to be in ones blood,TO-BE-IN-ONES-BLOOD1A^
to be running on empty,TO-BE-RUNNING-ON-EMPTY1^
to be silent,TO-BE-SILENT1^
to bear,TO-BEAR1A^
to bear down,TO-BEAR-DOWN1^
to beat,TO-BEAT1^
to belong,TO-BELONG1^
to betray,TO-BETRAY1^
to bite,TO-BITE1A^
to blow,TO-BLOW2^
to blow ones nose,TO-BLOW-ONES-NOSE1^
to borrow,TO-BORROW1^
to break,TO-BREAK1^
to breathe hard,TO-BREATHE-HARD1^
to bring,TO-BRING1A^
to bring along,TO-BRING-ALONG1^
to bubble or seethe,TO-BUBBLE-OR-SEETHE1^
to buy,TO-BUY1A^
to calculate,TO-CALCULATE1^
